player_id,outcome,min,sec,x,y,to_x,to_y,field_pass,type,team
17127,1,14,47,29.1,30,43.4,28.2,t,1,Germany
44989,1,14,51,43.4,28.2,,,t,100,Germany
44989,1,14,51,43.4,28.2,43,26.5,t,101,Germany
44989,1,14,52,43,26.5,42.3,66.1,t,1,Germany
40691,1,14,55,42.3,66.1,46.3,65.7,t,101,Germany
40691,1,14,55,42.3,66.1,,,t,100,Germany
40691,1,14,56,46.3,65.7,59.6,77,t,1,Germany
15208,1,14,58,59.6,77,59.3,80.9,t,101,Germany
15208,1,14,58,59.6,77,,,t,100,Germany
15208,1,14,59,59.3,80.9,62.9,96.2,t,1,Germany
41316,1,15,1,62.9,96.2,,,t,100,Germany
41316,1,15,1,62.9,96.2,61.8,96.2,t,101,Germany
41316,1,15,2,61.8,96.2,43.3,89.3,t,1,Germany
15208,1,15,4,43.3,89.3,42.9,86.8,t,101,Germany
15208,1,15,4,43.3,89.3,,,t,100,Germany
15208,1,15,5,42.9,86.8,51.4,60.3,t,1,Germany
44989,1,15,7,51.4,60.3,,,t,100,Germany
44989,1,15,7,51.4,60.3,52.5,57.2,t,101,Germany
44989,1,15,8,52.5,57.2,55.5,32.1,t,1,Germany
15207,1,15,11,55.5,32.1,58.3,27.7,t,101,Germany
15207,1,15,11,55.5,32.1,,,t,100,Germany
15207,1,15,12,58.3,27.7,63.5,2.6,t,1,Germany
69140,1,15,13,63.5,2.6,,,t,100,Germany
69140,1,15,13,63.5,2.6,63.4,2.6,t,101,Germany
69140,1,15,14,63.4,2.6,42.3,22.4,t,1,Germany
17127,1,15,18,42.3,22.4,47.5,26.4,t,101,Germany
17127,1,15,18,42.3,22.4,,,t,100,Germany
17127,1,15,19,47.5,26.4,39.6,33.1,t,1,Germany
44989,1,15,21,39.6,33.1,39.4,33.9,t,101,Germany
44989,1,15,21,39.6,33.1,,,t,100,Germany
44989,1,15,22,39.4,33.9,27.2,49.7,t,1,Germany
20388,1,15,22,27.2,49.7,,,t,100,Germany
